# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_002499015.1,ASM249901v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/015/GCA_002499015.1_ASM249901v1,GCA_002499015.1,Scaffold,ASM249901v1,PRJNA348753,SAMN06027633,GCA_002499015.1,full,Euryarchaeota archaeon UBA242,na,GCA_002499015.1,
GCA_002499085.1,ASM249908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/085/GCA_002499085.1_ASM249908v1,GCA_002499085.1,Scaffold,ASM249908v1,PRJNA348753,SAMN06027069,GCA_002499085.1,full,Methanomassiliicoccales archaeon UBA280,na,GCA_002499085.1,
GCA_002499185.1,ASM249918v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/185/GCA_002499185.1_ASM249918v1,GCA_002499185.1,Scaffold,ASM249918v1,PRJNA348753,SAMN06027065,GCA_002499185.1,full,Candidatus Pacearchaeota archaeon UBA284,na,GCA_002499185.1,
GCA_002499195.1,ASM249919v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/195/GCA_002499195.1_ASM249919v1,GCA_002499195.1,Scaffold,ASM249919v1,PRJNA348753,SAMN06027147,GCA_002499195.1,full,Euryarchaeota archaeon UBA443,na,GCA_002499195.1,
GCA_002499325.1,ASM249932v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/325/GCA_002499325.1_ASM249932v1,GCA_002499325.1,Scaffold,ASM249932v1,PRJNA348753,SAMN06027059,GCA_002499325.1,full,Euryarchaeota archaeon UBA538,na,GCA_002499325.1,
GCA_002499345.1,ASM249934v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/345/GCA_002499345.1_ASM249934v1,GCA_002499345.1,Scaffold,ASM249934v1,PRJNA348753,SAMN06027212,GCA_002499345.1,full,Euryarchaeota archaeon UBA170,na,GCA_002499345.1,
GCA_002499405.1,ASM249940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/405/GCA_002499405.1_ASM249940v1,GCA_002499405.1,Scaffold,ASM249940v1,PRJNA348753,SAMN06027323,GCA_002499405.1,full,Candidatus Micrarchaeota archaeon UBA95,na,GCA_002499405.1,
GCA_002499445.1,ASM249944v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/445/GCA_002499445.1_ASM249944v1,GCA_002499445.1,Scaffold,ASM249944v1,PRJNA348753,SAMN06027252,GCA_002499445.1,full,Methanosarcina sp. UBA293,na,GCA_002499445.1,
GCA_002499455.1,ASM249945v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/455/GCA_002499455.1_ASM249945v1,GCA_002499455.1,Scaffold,ASM249945v1,PRJNA348753,SAMN06027464,GCA_002499455.1,full,Methanoculleus sp. UBA77,na,GCA_002499455.1,
GCA_002499505.1,ASM249950v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/505/GCA_002499505.1_ASM249950v1,GCA_002499505.1,Scaffold,ASM249950v1,PRJNA348753,SAMN06027428,GCA_002499505.1,full,Candidatus Diapherotrites archaeon UBA493,na,GCA_002499505.1,
GCA_002499525.1,ASM249952v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/525/GCA_002499525.1_ASM249952v1,GCA_002499525.1,Scaffold,ASM249952v1,PRJNA348753,SAMN06027125,GCA_002499525.1,full,Nitrosopumilales archaeon UBA218,na,GCA_002499525.1,
GCA_002499545.1,ASM249954v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/545/GCA_002499545.1_ASM249954v1,GCA_002499545.1,Scaffold,ASM249954v1,PRJNA348753,SAMN06027104,GCA_002499545.1,full,Euryarchaeota archaeon UBA88,na,GCA_002499545.1,
GCA_002499585.1,ASM249958v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/585/GCA_002499585.1_ASM249958v1,GCA_002499585.1,Scaffold,ASM249958v1,PRJNA348753,SAMN06027278,GCA_002499585.1,full,Euryarchaeota archaeon UBA552,na,GCA_002499585.1,
GCA_002499705.1,ASM249970v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/705/GCA_002499705.1_ASM249970v1,GCA_002499705.1,Scaffold,ASM249970v1,PRJNA348753,SAMN06027279,GCA_002499705.1,full,Euryarchaeota archaeon UBA91,na,GCA_002499705.1,
GCA_002499785.1,ASM249978v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/785/GCA_002499785.1_ASM249978v1,GCA_002499785.1,Scaffold,ASM249978v1,PRJNA348753,SAMN06027287,GCA_002499785.1,full,Euryarchaeota archaeon UBA99,na,GCA_002499785.1,
GCA_002499865.1,ASM249986v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/865/GCA_002499865.1_ASM249986v1,GCA_002499865.1,Scaffold,ASM249986v1,PRJNA348753,SAMN06027307,GCA_002499865.1,full,Euryarchaeota archaeon UBA121,na,GCA_002499865.1,
GCA_002499905.1,ASM249990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/499/905/GCA_002499905.1_ASM249990v1,GCA_002499905.1,Scaffold,ASM249990v1,PRJNA348753,SAMN06027535,GCA_002499905.1,full,Methanolinea sp. UBA277,na,GCA_002499905.1,
GCA_002501605.1,ASM250160v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/605/GCA_002501605.1_ASM250160v1,GCA_002501605.1,Scaffold,ASM250160v1,PRJNA348753,SAMN06027186,GCA_002501605.1,full,Euryarchaeota archaeon UBA28,na,GCA_002501605.1,
GCA_002501655.1,ASM250165v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/655/GCA_002501655.1_ASM250165v1,GCA_002501655.1,Scaffold,ASM250165v1,PRJNA348753,SAMN06027359,GCA_002501655.1,full,Methanoculleus sp. UBA303,na,GCA_002501655.1,
GCA_002501695.1,ASM250169v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/695/GCA_002501695.1_ASM250169v1,GCA_002501695.1,Scaffold,ASM250169v1,PRJNA348753,SAMN06027622,GCA_002501695.1,full,Methanolobus sp. UBA474,na,GCA_002501695.1,
GCA_002501765.1,ASM250176v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/765/GCA_002501765.1_ASM250176v1,GCA_002501765.1,Scaffold,ASM250176v1,PRJNA348753,SAMN06027569,GCA_002501765.1,full,Methanosaeta sp. UBA204,na,GCA_002501765.1,
GCA_002501775.1,ASM250177v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/775/GCA_002501775.1_ASM250177v1,GCA_002501775.1,Contig,ASM250177v1,PRJNA348753,SAMN06027222,GCA_002501775.1,full,Candidatus Micrarchaeota archaeon UBA523,na,GCA_002501775.1,
GCA_002501805.1,ASM250180v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/805/GCA_002501805.1_ASM250180v1,GCA_002501805.1,Scaffold,ASM250180v1,PRJNA348753,SAMN06027477,GCA_002501805.1,full,Euryarchaeota archaeon UBA463,na,GCA_002501805.1,
GCA_002501845.1,ASM250184v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/845/GCA_002501845.1_ASM250184v1,GCA_002501845.1,Scaffold,ASM250184v1,PRJNA348753,SAMN06027587,GCA_002501845.1,full,Nitrososphaera sp. UBA217,na,GCA_002501845.1,
GCA_002501855.1,ASM250185v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/855/GCA_002501855.1_ASM250185v1,GCA_002501855.1,Scaffold,ASM250185v1,PRJNA348753,SAMN06027446,GCA_002501855.1,full,Nitrososphaeraceae archaeon UBA348,na,GCA_002501855.1,
GCA_002501885.1,ASM250188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/885/GCA_002501885.1_ASM250188v1,GCA_002501885.1,Scaffold,ASM250188v1,PRJNA348753,SAMN06027290,GCA_002501885.1,full,Euryarchaeota archaeon UBA220,na,GCA_002501885.1,
GCA_002501965.1,ASM250196v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/501/965/GCA_002501965.1_ASM250196v1,GCA_002501965.1,Scaffold,ASM250196v1,PRJNA348753,SAMN06027063,GCA_002501965.1,full,Methanolinea sp. UBA286,na,GCA_002501965.1,
GCA_002502095.1,ASM250209v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/095/GCA_002502095.1_ASM250209v1,GCA_002502095.1,Scaffold,ASM250209v1,PRJNA348753,SAMN06027269,GCA_002502095.1,full,Euryarchaeota archaeon UBA62,na,GCA_002502095.1,
GCA_002502135.1,ASM250213v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/135/GCA_002502135.1_ASM250213v1,GCA_002502135.1,Scaffold,ASM250213v1,PRJNA348753,SAMN06027474,GCA_002502135.1,full,archaeon UBA543,na,GCA_002502135.1,
GCA_002502175.1,ASM250217v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/175/GCA_002502175.1_ASM250217v1,GCA_002502175.1,Scaffold,ASM250217v1,PRJNA348753,SAMN06027082,GCA_002502175.1,full,Euryarchaeota archaeon UBA19,na,GCA_002502175.1,
GCA_002502215.1,ASM250221v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/215/GCA_002502215.1_ASM250221v1,GCA_002502215.1,Scaffold,ASM250221v1,PRJNA348753,SAMN06027304,GCA_002502215.1,full,Euryarchaeota archaeon UBA124,na,GCA_002502215.1,
GCA_002502245.1,ASM250224v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/245/GCA_002502245.1_ASM250224v1,GCA_002502245.1,Scaffold,ASM250224v1,PRJNA348753,SAMN06027506,GCA_002502245.1,full,Methanoregula sp. UBA154,na,GCA_002502245.1,
GCA_002502295.1,ASM250229v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/295/GCA_002502295.1_ASM250229v1,GCA_002502295.1,Scaffold,ASM250229v1,PRJNA348753,SAMN06027158,GCA_002502295.1,full,Euryarchaeota archaeon UBA561,na,GCA_002502295.1,
GCA_002502365.1,ASM250236v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/365/GCA_002502365.1_ASM250236v1,GCA_002502365.1,Scaffold,ASM250236v1,PRJNA348753,SAMN06027596,GCA_002502365.1,full,Euryarchaeota archaeon UBA106,na,GCA_002502365.1,
GCA_002502605.1,ASM250260v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/605/GCA_002502605.1_ASM250260v1,GCA_002502605.1,Scaffold,ASM250260v1,PRJNA348753,SAMN06027161,GCA_002502605.1,full,Euryarchaeota archaeon UBA258,na,GCA_002502605.1,
GCA_002502625.1,ASM250262v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/625/GCA_002502625.1_ASM250262v1,GCA_002502625.1,Scaffold,ASM250262v1,PRJNA348753,SAMN06027303,GCA_002502625.1,full,Euryarchaeota archaeon UBA125,na,GCA_002502625.1,
GCA_002502685.1,ASM250268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/685/GCA_002502685.1_ASM250268v1,GCA_002502685.1,Scaffold,ASM250268v1,PRJNA348753,SAMN06027571,GCA_002502685.1,full,Euryarchaeota archaeon UBA202,na,GCA_002502685.1,
GCA_002502705.1,ASM250270v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/705/GCA_002502705.1_ASM250270v1,GCA_002502705.1,Scaffold,ASM250270v1,PRJNA348753,SAMN06027043,GCA_002502705.1,full,Thermoplasmatales archaeon UBA582,na,GCA_002502705.1,
GCA_002502735.1,ASM250273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/735/GCA_002502735.1_ASM250273v1,GCA_002502735.1,Scaffold,ASM250273v1,PRJNA348753,SAMN06027271,GCA_002502735.1,full,Methanoregula sp. UBA64,na,GCA_002502735.1,
GCA_002502785.1,ASM250278v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/785/GCA_002502785.1_ASM250278v1,GCA_002502785.1,Contig,ASM250278v1,PRJNA348753,SAMN06027408,GCA_002502785.1,full,Methanosaeta harundinacea,na,GCA_002502785.1,
GCA_002502855.1,ASM250285v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/855/GCA_002502855.1_ASM250285v1,GCA_002502855.1,Scaffold,ASM250285v1,PRJNA348753,SAMN06027541,GCA_002502855.1,full,Methanobacterium sp. UBA279,na,GCA_002502855.1,
GCA_002502965.1,ASM250296v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/502/965/GCA_002502965.1_ASM250296v1,GCA_002502965.1,Scaffold,ASM250296v1,PRJNA348753,SAMN06027527,GCA_002502965.1,full,Methanomassiliicoccaceae archaeon UBA381,na,GCA_002502965.1,
GCA_002503045.1,ASM250304v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/045/GCA_002503045.1_ASM250304v1,GCA_002503045.1,Scaffold,ASM250304v1,PRJNA348753,SAMN06027373,GCA_002503045.1,full,Euryarchaeota archaeon UBA39,na,GCA_002503045.1,
GCA_002503055.1,ASM250305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/055/GCA_002503055.1_ASM250305v1,GCA_002503055.1,Scaffold,ASM250305v1,PRJNA348753,SAMN06027114,GCA_002503055.1,full,Euryarchaeota archaeon UBA86,na,GCA_002503055.1,
GCA_002503105.1,ASM250310v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/105/GCA_002503105.1_ASM250310v1,GCA_002503105.1,Scaffold,ASM250310v1,PRJNA348753,SAMN06027567,GCA_002503105.1,full,Methanomicrobiaceae archaeon UBA206,na,GCA_002503105.1,
GCA_002503135.1,ASM250313v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/135/GCA_002503135.1_ASM250313v1,GCA_002503135.1,Scaffold,ASM250313v1,PRJNA348753,SAMN06027568,GCA_002503135.1,full,Methanomicrobiaceae archaeon UBA207,na,GCA_002503135.1,
GCA_002503205.1,ASM250320v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/205/GCA_002503205.1_ASM250320v1,GCA_002503205.1,Scaffold,ASM250320v1,PRJNA348753,SAMN06027143,GCA_002503205.1,full,Thermoplasmatales archaeon UBA447,na,GCA_002503205.1,
GCA_002503285.1,ASM250328v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/285/GCA_002503285.1_ASM250328v1,GCA_002503285.1,Scaffold,ASM250328v1,PRJNA348753,SAMN06027275,GCA_002503285.1,full,Euryarchaeota archaeon UBA557,na,GCA_002503285.1,
GCA_002503395.1,ASM250339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/395/GCA_002503395.1_ASM250339v1,GCA_002503395.1,Scaffold,ASM250339v1,PRJNA348753,SAMN06027267,GCA_002503395.1,full,Euryarchaeota archaeon UBA60,na,GCA_002503395.1,
GCA_002503545.1,ASM250354v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/545/GCA_002503545.1_ASM250354v1,GCA_002503545.1,Scaffold,ASM250354v1,PRJNA348753,SAMN06027457,GCA_002503545.1,full,Candidatus Methanomethylophilus sp. UBA78,na,GCA_002503545.1,
GCA_002503595.1,ASM250359v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/595/GCA_002503595.1_ASM250359v1,GCA_002503595.1,Scaffold,ASM250359v1,PRJNA348753,SAMN06027572,GCA_002503595.1,full,Methanosarcinales archaeon UBA203,na,GCA_002503595.1,
GCA_002503665.1,ASM250366v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/665/GCA_002503665.1_ASM250366v1,GCA_002503665.1,Scaffold,ASM250366v1,PRJNA348753,SAMN06027292,GCA_002503665.1,full,Euryarchaeota archaeon UBA222,na,GCA_002503665.1,
GCA_002503705.1,ASM250370v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/705/GCA_002503705.1_ASM250370v1,GCA_002503705.1,Scaffold,ASM250370v1,PRJNA348753,SAMN06027501,GCA_002503705.1,full,Candidatus Woesearchaeota archaeon UBA153,na,GCA_002503705.1,
GCA_002503825.1,ASM250382v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/825/GCA_002503825.1_ASM250382v1,GCA_002503825.1,Scaffold,ASM250382v1,PRJNA348753,SAMN06027139,GCA_002503825.1,full,Methanoregulaceae archaeon UBA467,na,GCA_002503825.1,
GCA_002503845.1,ASM250384v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/845/GCA_002503845.1_ASM250384v1,GCA_002503845.1,Scaffold,ASM250384v1,PRJNA348753,SAMN06027177,GCA_002503845.1,full,Euryarchaeota archaeon UBA24,na,GCA_002503845.1,
GCA_002503885.1,ASM250388v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/885/GCA_002503885.1_ASM250388v1,GCA_002503885.1,Scaffold,ASM250388v1,PRJNA348753,SAMN06027135,GCA_002503885.1,full,Methanoculleus marisnigri,na,GCA_002503885.1,
GCA_002503985.1,ASM250398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/503/985/GCA_002503985.1_ASM250398v1,GCA_002503985.1,Contig,ASM250398v1,PRJNA348753,SAMN06027266,GCA_002503985.1,full,Thermoplasmata archaeon UBA61,na,GCA_002503985.1,
GCA_002504405.1,ASM250440v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/405/GCA_002504405.1_ASM250440v1,GCA_002504405.1,Scaffold,ASM250440v1,PRJNA348753,SAMN06027462,GCA_002504405.1,full,Methanomassiliicoccaceae archaeon UBA71,na,GCA_002504405.1,
GCA_002504435.1,ASM250443v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/435/GCA_002504435.1_ASM250443v1,GCA_002504435.1,Scaffold,ASM250443v1,PRJNA348753,SAMN06027566,GCA_002504435.1,full,Euryarchaeota archaeon UBA438,na,GCA_002504435.1,
GCA_002504495.1,ASM250449v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/495/GCA_002504495.1_ASM250449v1,GCA_002504495.1,Scaffold,ASM250449v1,PRJNA348753,SAMN06027054,GCA_002504495.1,full,Methanomassiliicoccaceae archaeon UBA537,na,GCA_002504495.1,
GCA_002504525.1,ASM250452v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/525/GCA_002504525.1_ASM250452v1,GCA_002504525.1,Scaffold,ASM250452v1,PRJNA348753,SAMN06027443,GCA_002504525.1,full,Methanomassiliicoccus sp. UBA345,na,GCA_002504525.1,
GCA_002504725.1,ASM250472v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/725/GCA_002504725.1_ASM250472v1,GCA_002504725.1,Scaffold,ASM250472v1,PRJNA348753,SAMN06027046,GCA_002504725.1,full,Methanobacteriaceae archaeon UBA587,na,GCA_002504725.1,
GCA_002504845.1,ASM250484v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/845/GCA_002504845.1_ASM250484v1,GCA_002504845.1,Scaffold,ASM250484v1,PRJNA348753,SAMN06027169,GCA_002504845.1,full,Euryarchaeota archaeon UBA250,na,GCA_002504845.1,
GCA_002504905.1,ASM250490v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/504/905/GCA_002504905.1_ASM250490v1,GCA_002504905.1,Scaffold,ASM250490v1,PRJNA348753,SAMN06027393,GCA_002504905.1,full,Euryarchaeota archaeon UBA605,na,GCA_002504905.1,
GCA_002505185.1,ASM250518v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/185/GCA_002505185.1_ASM250518v1,GCA_002505185.1,Scaffold,ASM250518v1,PRJNA348753,SAMN06027152,GCA_002505185.1,full,Ferroplasmaceae archaeon UBA567,na,GCA_002505185.1,
GCA_002505325.1,ASM250532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/325/GCA_002505325.1_ASM250532v1,GCA_002505325.1,Scaffold,ASM250532v1,PRJNA348753,SAMN06027121,GCA_002505325.1,full,Euryarchaeota archaeon UBA623,na,GCA_002505325.1,
GCA_002505345.1,ASM250534v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/345/GCA_002505345.1_ASM250534v1,GCA_002505345.1,Scaffold,ASM250534v1,PRJNA348753,SAMN06027551,GCA_002505345.1,full,Methanomassiliicoccaceae archaeon UBA370,na,GCA_002505345.1,
GCA_002505355.1,ASM250535v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/355/GCA_002505355.1_ASM250535v1,GCA_002505355.1,Scaffold,ASM250535v1,PRJNA348753,SAMN06027299,GCA_002505355.1,full,Euryarchaeota archaeon UBA229,na,GCA_002505355.1,
GCA_002505405.1,ASM250540v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/405/GCA_002505405.1_ASM250540v1,GCA_002505405.1,Scaffold,ASM250540v1,PRJNA348753,SAMN06027172,GCA_002505405.1,full,Euryarchaeota archaeon UBA255,na,GCA_002505405.1,
GCA_002505455.1,ASM250545v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/455/GCA_002505455.1_ASM250545v1,GCA_002505455.1,Scaffold,ASM250545v1,PRJNA348753,SAMN06027193,GCA_002505455.1,full,Euryarchaeota archaeon UBA52,na,GCA_002505455.1,
GCA_002505485.1,ASM250548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/485/GCA_002505485.1_ASM250548v1,GCA_002505485.1,Scaffold,ASM250548v1,PRJNA348753,SAMN06027134,GCA_002505485.1,full,Methanosarcina sp. UBA5,na,GCA_002505485.1,
GCA_002505495.1,ASM250549v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/495/GCA_002505495.1_ASM250549v1,GCA_002505495.1,Scaffold,ASM250549v1,PRJNA348753,SAMN06027200,GCA_002505495.1,full,Euryarchaeota archaeon UBA59,na,GCA_002505495.1,
GCA_002505525.1,ASM250552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/525/GCA_002505525.1_ASM250552v1,GCA_002505525.1,Scaffold,ASM250552v1,PRJNA348753,SAMN06027561,GCA_002505525.1,full,archaeon UBA431,na,GCA_002505525.1,
GCA_002505585.1,ASM250558v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/585/GCA_002505585.1_ASM250558v1,GCA_002505585.1,Scaffold,ASM250558v1,PRJNA348753,SAMN06027223,GCA_002505585.1,full,Candidatus Woesearchaeota archaeon UBA489,na,GCA_002505585.1,
GCA_002505645.1,ASM250564v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/645/GCA_002505645.1_ASM250564v1,GCA_002505645.1,Scaffold,ASM250564v1,PRJNA348753,SAMN06027478,GCA_002505645.1,full,archaeon UBA460,na,GCA_002505645.1,
GCA_002505685.1,ASM250568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/685/GCA_002505685.1_ASM250568v1,GCA_002505685.1,Scaffold,ASM250568v1,PRJNA348753,SAMN06027539,GCA_002505685.1,full,Euryarchaeota archaeon UBA501,na,GCA_002505685.1,
GCA_002505695.1,ASM250569v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/695/GCA_002505695.1_ASM250569v1,GCA_002505695.1,Scaffold,ASM250569v1,PRJNA348753,SAMN06027237,GCA_002505695.1,full,Euryarchaeota archaeon UBA487,na,GCA_002505695.1,
GCA_002505765.1,ASM250576v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/765/GCA_002505765.1_ASM250576v1,GCA_002505765.1,Scaffold,ASM250576v1,PRJNA348753,SAMN06027210,GCA_002505765.1,full,Methanobacterium sp. UBA176,na,GCA_002505765.1,
GCA_002505775.1,ASM250577v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/775/GCA_002505775.1_ASM250577v1,GCA_002505775.1,Scaffold,ASM250577v1,PRJNA348753,SAMN06027126,GCA_002505775.1,full,Euryarchaeota archaeon UBA130,na,GCA_002505775.1,
GCA_002505805.1,ASM250580v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/805/GCA_002505805.1_ASM250580v1,GCA_002505805.1,Scaffold,ASM250580v1,PRJNA348753,SAMN06027112,GCA_002505805.1,full,Methanosaeta sp. UBA80,na,GCA_002505805.1,
GCA_002505935.1,ASM250593v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/935/GCA_002505935.1_ASM250593v1,GCA_002505935.1,Scaffold,ASM250593v1,PRJNA348753,SAMN06027296,GCA_002505935.1,full,Euryarchaeota archaeon UBA226,na,GCA_002505935.1,
GCA_002505945.1,ASM250594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/505/945/GCA_002505945.1_ASM250594v1,GCA_002505945.1,Scaffold,ASM250594v1,PRJNA348753,SAMN06027413,GCA_002505945.1,full,Candidatus Woesearchaeota archaeon UBA119,na,GCA_002505945.1,
GCA_002506015.1,ASM250601v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/015/GCA_002506015.1_ASM250601v1,GCA_002506015.1,Scaffold,ASM250601v1,PRJNA348753,SAMN06027188,GCA_002506015.1,full,Methanosarcinales archaeon UBA261,na,GCA_002506015.1,
GCA_002506025.1,ASM250602v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/025/GCA_002506025.1_ASM250602v1,GCA_002506025.1,Scaffold,ASM250602v1,PRJNA348753,SAMN06027421,GCA_002506025.1,full,Euryarchaeota archaeon UBA111,na,GCA_002506025.1,
GCA_002506085.1,ASM250608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/085/GCA_002506085.1_ASM250608v1,GCA_002506085.1,Scaffold,ASM250608v1,PRJNA348753,SAMN06027379,GCA_002506085.1,full,Methanocorpusculaceae archaeon UBA425,na,GCA_002506085.1,
GCA_002506105.1,ASM250610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/105/GCA_002506105.1_ASM250610v1,GCA_002506105.1,Scaffold,ASM250610v1,PRJNA348753,SAMN06027537,GCA_002506105.1,full,Methanolinea sp. UBA275,na,GCA_002506105.1,
GCA_002506175.1,ASM250617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/175/GCA_002506175.1_ASM250617v1,GCA_002506175.1,Scaffold,ASM250617v1,PRJNA348753,SAMN06027419,GCA_002506175.1,full,Methanomassiliicoccaceae archaeon UBA113,na,GCA_002506175.1,
GCA_002506255.1,ASM250625v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/255/GCA_002506255.1_ASM250625v1,GCA_002506255.1,Scaffold,ASM250625v1,PRJNA348753,SAMN06027079,GCA_002506255.1,full,Methanomassiliicoccaceae archaeon UBA367,na,GCA_002506255.1,
