ncbi_genbank_assembly_accession,ncbi_assembly_name,ncbi_biosample,ncbi_organism_name,parsed_genome_accession,dataset
GCA_002473165.1,ASM247316v1,SAMN06455971,Succinatimonas sp. UBA7265,GCA_002473165.1,train
GCA_003097315.1,ASM309731v1,SAMN08959339,Flavobacteriaceae bacterium Hp12,GCA_003097315.1,train
GCA_000308315.1,ASM30831v1,SAMEA2271965,Legionella tunisiensis,GCF_000308315.1,train
GCA_002709565.1,ASM270956v1,SAMN07619294,Legionellales bacterium,GCA_002709565.1,train
GCA_001801635.1,ASM180163v1,SAMN04315666,Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_28,GCA_001801635.1,train
GCA_001881495.1,ASM188149v1,SAMN04544940,Candidatus Rickettsiella isopodorum,GCF_001881495.1,train
GCA_002469885.1,ASM246988v1,SAMN06454847,Legionellales bacterium UBA7366,GCA_002469885.1,train
GCA_002796245.1,ASM279624v1,SAMN06659501,Gammaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_46_22,GCA_002796245.1,train
GCA_001801815.1,ASM180181v1,SAMN04315633,Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_36_30,GCA_001801815.1,train
GCA_003142435.1,20120800_E3D,SAMN08180133,Coxiellaceae bacterium,GCA_003142435.1,train
GCA_002429595.1,ASM242959v1,SAMN06450859,Coxiellaceae bacterium UBA6002,GCA_002429595.1,train
GCA_000219045.1,ASM21904v1,SAMN02603541,Francisella sp. TX077308,GCF_000219045.1,train
GCA_000953435.1,CEM1.1,SAMEA2500319,Candidatus Evansia muelleri,GCF_000953435.1,train
GCA_002422785.1,ASM242278v1,SAMN06454856,Francisellaceae bacterium UBA6186,GCA_002422785.1,train
GCA_001431295.1,ASM143129v1,SAMN03855788,Candidatus Berkiella aquae,GCF_001431295.1,train
GCA_001720395.1,ASM172039v1,SAMN05601431,Piscirickettsia litoralis,GCF_001720395.1,train
GCA_000381085.1,ASM38108v1,SAMN02440985,Thiomicrorhabdus arctica DSM 13458,GCF_000381085.1,train
GCA_000375345.1,ASM37534v1,SAMN02441394,Wohlfahrtiimonas chitiniclastica DSM 18708,GCF_000375345.1,train
GCA_000007145.1,ASM714v1,SAMN02603845,Xanthomonas campestris pv. campestris str. ATCC 33913,GCF_000007145.1,train
GCA_003165495.1,20110600_P1M,SAMN08178787,Gammaproteobacteria bacterium,GCA_003165495.1,train
GCA_002728725.1,ASM272872v1,SAMN07620246,Woeseiaceae bacterium,GCA_002728725.1,train
GCA_002729875.1,ASM272987v1,SAMN07618543,Chromatiales bacterium,GCA_002729875.1,train
GCA_003155415.1,20120700_E3M,SAMN08179763,Gammaproteobacteria bacterium,GCA_003155415.1,train
GCA_003228965.1,ASM322896v1,SAMN09240130,Gammaproteobacteria bacterium,GCA_003228965.1,train
GCA_002868855.1,ASM286885v1,SAMN07982699,Chromatiales bacterium,GCA_002868855.1,train
GCA_000215955.3,SSPSH_V2,SAMN02472183,Salinisphaera shabanensis E1L3A,GCF_000215955.2,train
GCA_002862435.1,ASM286243v1,SAMN08158042,Proteobacteria bacterium,GCA_002862435.1,train
GCA_002356555.2,HH1059_assembly_1.0,SAMD00046889,Halorhodospira halochloris,GCF_002356555.2,train
GCA_900112605.1,IMG-taxon 2595698212 annotated assembly,SAMN05660831,Thiohalospira halophila DSM 15071,GCF_900112605.1,train
GCA_000227725.2,ASM22772v1,SAMN02441807,Thiorhodospira sibirica ATCC 700588,GCF_000227725.1,train
GCA_002425225.1,ASM242522v1,SAMN06450874,Thiothrix sp. UBA5583,GCA_002425225.1,train
GCA_001735895.1,ASM173589v1,SAMN02954240,Olavius algarvensis Gamma 3 endosymbiont,GCA_001735895.1,train
GCA_002386945.1,ASM238694v1,SAMN06450527,Proteobacteria bacterium UBA4575,GCA_002386945.1,train
GCA_001663815.1,ASM166381v1,SAMN05189898,Halothiobacillus sp. LS2,GCF_001663815.1,train
GCA_002215215.1,ASM221521v1,SAMN06112367,Granulosicoccus antarcticus IMCC3135,GCF_002215215.1,train
GCA_001614315.2,ASM161431v2,SAMN04545454,Halofilum ochraceum,GCF_001614315.2,train
GCA_002746365.1,ASM274636v1,SAMN07568838,Thiotrichaceae bacterium,GCA_002746365.1,train
GCA_000155715.1,ASM15571v1,SAMN02436275,gamma proteobacterium HTCC5015,GCF_000155715.1,train
GCA_002928495.1,ASM292849v1,SAMN07958391,Methylobacter sp.,GCA_002928495.1,train
GCA_001044195.1,ASM104419v1,SAMN03742159,Candidatus Achromatium palustre,GCA_001044195.1,train
GCA_000349205.1,MPLversion1,SAMN02470674,Methylophaga lonarensis MPL,GCF_000349205.1,train
GCA_001305575.2,ASM130557v2,SAMN03988806,Beggiatoa leptomitoformis,GCF_001305575.2,train
GCA_002450975.1,ASM245097v1,SAMN06451226,Proteobacteria bacterium UBA6915,GCA_002450975.1,train
GCA_003232725.1,ASM323272v1,SAMN09240060,Chromatiaceae bacterium,GCA_003232725.1,train
GCA_001464965.1,Gammaproteobacteria bacterium Ga0074134,SAMN04254503,Gammaproteobacteria bacterium Ga0074134,GCA_001464965.1,train
GCA_001447805.1,ASM144780v1,SAMN04120379,Candidatus Tenderia electrophaga,GCA_001447805.1,train
GCA_002352125.1,ASM235212v1,SAMN06455041,Competibacteraceae bacterium UBA2792,GCA_002352125.1,train
GCA_002897735.1,ASM289773v1,SAMD00081390,bacterium BMS3Bbin13,GCA_002897735.1,train
none,none,none,none,GCA_003454335.1,train
GCA_002020875.1,ASM202087v1,SAMN06016300,Solemya velesiana gill symbiont,GCF_002020875.1,train
GCA_003233345.1,ASM323334v1,SAMN09240005,Gammaproteobacteria bacterium,GCA_003233345.1,train
GCA_002432655.1,ASM243265v1,SAMN06450534,Thiotrichaceae bacterium UBA5859,GCA_002432655.1,train
GCA_002400775.1,ASM240077v1,SAMN07568988,Gammaproteobacteria bacterium,GCA_002400775.1,train
GCA_001802375.1,ASM180237v1,SAMN04313749,Gammaproteobacteria bacterium RBG_16_51_14,GCA_001802375.1,train
GCA_002292285.1,ASM229228v1,SAMN06457236,Proteobacteria bacterium UBA981,GCA_002292285.1,train
GCA_002007425.1,USCg1.0,SAMN06219543,Chromatiales bacterium USCg_Taylor,GCA_002007425.1,train
GCA_000583135.1,work bench 6.5 assembly of Candidatus Thioalkalivibrio spongium HK1,SAMN02641234,Thioalkalivibrio sp. HK1,GCF_000583135.1,train
GCA_001697225.1,ASM169722v1,SAMN04528780,Immundisolibacter cernigliae,GCF_001697225.1,train
GCA_001412595.2,ASM141259v2,SAMN04017855,Massilia sp. WG5,GCF_001412595.2,train
GCA_002341825.1,ASM234182v1,SAMN06455847,Acidithiobacillus sp. UBA2486,GCA_002341825.1,train
GCA_001399755.1,ASM139975v1,SAMN04025648,Thiohalorhabdus denitrificans,GCF_001399755.1,train
none,none,none,none,GCA_003529705.1,train
GCA_001785115.1,ASM178511v1,SAMN04314272,Candidatus Muproteobacteria bacterium RBG_16_65_34,GCA_001785115.1,train
GCA_001750625.1,ASM175062v1,SAMN04123283,Betaproteobacteria bacterium AqS2,GCA_001750625.1,train
GCA_001750645.1,ASM175064v1,SAMN04123286,Gammaproteobacteria bacterium AqS3,GCA_001750645.1,train
GCA_002631715.1,ASM263171v1,SAMN06111390,Candidatus Porisulfidus sp. TsSOB,GCA_002631715.1,train
GCA_002454015.1,ASM245401v1,SAMN06457015,Proteobacteria bacterium UBA6729,GCA_002454015.1,train
GCA_002352565.1,ASM235256v1,SAMN06451502,Proteobacteria bacterium UBA2770,GCA_002352565.1,train
GCA_003213595.1,ASM321359v1,SAMN08886432,SAR86 cluster bacterium AG-422-E19,GCA_003213595.1,train
GCA_002718845.1,ASM271884v1,SAMN07619128,Gammaproteobacteria bacterium,GCA_002718845.1,train
none,none,none,none,GCA_003449795.1,train
GCA_002170535.1,ASM217053v1,SAMN06971923,Methylococcaceae bacterium TMED69,GCA_002170535.1,train
GCA_002480165.1,ASM248016v1,SAMN06457383,Proteobacteria bacterium UBA7821,GCA_002480165.1,train
GCA_002795825.1,ASM279582v1,SAMN06046393,Mariprofundus ferrinatatus,GCF_002795825.1,train
GCA_001872725.1,ASM187272v1,SAMN04328211,Proteobacteria bacterium CG1_02_64_396,GCA_001872725.1,train
GCA_000469155.1,RS24,SAMN02470126,Candidatus Micropelagos thuwalensis,GCF_000469155.1,train
GCA_002343395.1,ASM234339v1,SAMN06451932,Hyphomonadaceae bacterium UBA2389,GCA_002343395.1,train
GCA_003131925.1,20120500_P32,SAMN08179484,Alphaproteobacteria bacterium,GCA_003131925.1,train
none,none,none,none,GCA_003454415.1,train
GCA_002694745.1,ASM269474v1,SAMN07618565,Croceicoccus sp.,GCA_002694745.1,train
GCA_002482765.1,ASM248276v1,SAMN06453378,Alphaproteobacteria bacterium UBA7691,GCA_002482765.1,train
GCA_003173055.1,ASM317305v1,SAMN09217618,Zavarzinia compransoris,GCF_003173055.1,train
GCA_002694385.1,ASM269438v1,SAMN07620099,Sneathiella sp.,GCA_002694385.1,train
GCA_002731375.1,ASM273137v1,SAMN07619967,Rhodospirillaceae bacterium,GCA_002731375.1,train
GCA_002798435.1,ASM279843v1,SAMN08043188,Rhizobiales bacterium,GCA_002798435.1,train
GCA_002690215.1,ASM269021v1,SAMN07619952,Rhodospirillaceae bacterium,GCA_002690215.1,train
GCA_002728255.1,ASM272825v1,SAMN07619976,Rhodospirillaceae bacterium,GCA_002728255.1,train
GCA_002714015.1,ASM271401v1,SAMN07619111,Gammaproteobacteria bacterium,GCA_002714015.1,train
GCA_002898275.1,ASM289827v1,SAMD00093790,bacterium HR40,GCA_002898275.1,train
GCA_002238685.1,ASM223868v1,SAMN05959516,bacterium EF100-94H03 bin56,GCA_002238685.1,train
GCA_000264455.2,ASM26445v2,SAMN02603926,Tistrella mobilis KA081020-065,GCF_000264455.2,train
GCA_002153655.1,ASM215365v1,SAMN02866238,Acetobacter okinawensis,GCF_002153655.1,train
GCA_001897995.1,ASM189799v1,SAMN05660512,Alphaproteobacteria bacterium 65-37,GCA_001897995.1,train
GCA_002238885.1,ASM223888v1,SAMN05959526,Alphaproteobacteria bacterium bin95,GCA_002238885.1,train
GCA_001768735.1,ASM176873v1,SAMN04314139,Alphaproteobacteria bacterium GWF2_58_20,GCA_001768735.1,train
GCA_002251795.1,ASM225179v1,SAMN07418560,Niveispirillum lacus,GCF_002251795.1,train
GCA_000518365.1,ASM51836v1,SAMN02584986,Rhodospirillales bacterium URHD0088,GCF_000518365.1,train
GCA_002722775.1,ASM272277v1,SAMN07619991,Rhodospirillaceae bacterium,GCA_002722775.1,train
GCA_003280605.1,ASM328060v1,SAMN08886219,SAR116 cluster bacterium AG-355-O21,GCA_003280605.1,train
GCA_000319385.1,ASM31938v1,SAMN02604248,Candidatus Endolissoclinum faulkneri L2,GCF_000319385.1,train
GCA_000299935.1,ASM29993v1,SAMN02471166,Oceanibaculum indicum P24,GCF_000299935.1,train
GCA_000620685.1,ASM62068v1,SAMN02743967,Dongia sp. URHE0060,GCF_000620685.1,train
GCA_900100655.1,IMG-taxon 2654587884 annotated assembly,SAMN05216241,Limimonas halophila,GCF_900100655.1,train
GCA_002708995.1,ASM270899v1,SAMN07619146,Geminicoccus sp.,GCA_002708995.1,train
GCA_002340345.1,ASM234034v1,SAMN06454552,Alphaproteobacteria bacterium UBA2562,GCA_002340345.1,train
GCA_002722095.1,ASM272209v1,SAMN07619992,Rhodospirillaceae bacterium,GCA_002722095.1,train
GCA_002937455.1,ASM293745v1,SAMN07286233,Alphaproteobacteria bacterium MarineAlpha11_Bin1,GCA_002937455.1,train
GCA_003230015.1,ASM323001v1,SAMN09240131,Alphaproteobacteria bacterium,GCA_003230015.1,train
GCA_900197615.1,Rhodospirillaceae bacterium Spongia_Bin9,SAMEA104144055,Rhodospirillaceae bacterium Spongia-Bin9,GCF_900197615.1,train
GCA_002686135.1,ASM268613v1,SAMN07619953,Rhodospirillaceae bacterium,GCA_002686135.1,train
GCA_002433335.1,ASM243333v1,SAMN06452599,Rhodospirillaceae bacterium UBA6608,GCA_002433335.1,train
GCA_002753155.1,ASM275315v1,SAMN07572858,Alphaproteobacteria bacterium WMHbin7,GCA_002753155.1,train
GCA_900230255.1,IMG-taxon 2667528161 annotated assembly,SAMN05421508,Caenispirillum bisanense,GCF_900230255.1,train
GCA_002737725.1,ASM273772v1,SAMN07460789,Rhodospirillaceae bacterium,GCA_002737725.1,train
GCA_002691085.1,ASM269108v1,SAMN07619958,Rhodospirillaceae bacterium,GCA_002691085.1,train
GCA_000436375.1,MGS239,SAMEA3138703,Azospirillum sp. CAG:239,GCA_000436375.1,train
GCA_002632265.1,ASM263226v1,SAMN07481817,Rickettsiaceae bacterium MC1,GCA_002632265.1,train
GCA_001192655.1,ASM119265v1,SAMD00026920,Caedimonas varicaedens,GCF_001192655.1,train
GCA_001767835.1,ASM176783v1,SAMN04313891,Alphaproteobacteria bacterium GWC2_42_16,GCA_001767835.1,train
GCA_002257235.1,ASM225723v1,SAMN06622281,Alphaproteobacteria bacterium 16-39-46,GCA_002257235.1,train
GCA_000742835.1,ASM74283v1,SAMN02911856,Candidatus Paracaedibacter acanthamoebae,GCF_000742835.1,train
GCA_001898075.1,ASM189807v1,SAMN05660520,Alphaproteobacteria bacterium 40-19,GCA_001898075.1,train
GCA_002393025.1,ASM239302v1,SAMN06451310,Holosporaceae bacterium UBA3830,GCA_002393025.1,train
GCA_002500565.1,ASM250056v1,SAMN06451840,Holosporaceae bacterium UBA7879,GCA_002500565.1,train
GCA_001897475.1,ASM189747v1,SAMN05660541,Alphaproteobacteria bacterium 43-37,GCA_001897475.1,train
GCA_002422845.1,ASM242284v1,SAMN06454858,Candidatus Paracaedibacteraceae bacterium UBA6184,GCA_002422845.1,train
GCA_003210115.1,ASM321011v1,SAMN08886453,SAR116 cluster bacterium AG-426-A06,GCA_003210115.1,train
GCA_003213555.1,ASM321355v1,SAMN08886433,Pelagibacteraceae bacterium AG-422-I02,GCA_003213555.1,train
GCA_002169365.1,ASM216936v1,SAMN06972113,Pelagibacteraceae bacterium TMED259,GCA_002169365.1,train
GCA_002937775.1,ASM293777v1,SAMN07286218,Alphaproteobacteria bacterium MarineAlpha6_Bin4,GCA_002937775.1,train
GCA_002710765.1,ASM271076v1,SAMN07620044,Rickettsiales bacterium,GCA_002710765.1,train
GCA_002684605.1,ASM268460v1,SAMN07619649,Pelagibacterales bacterium,GCA_002684605.1,train
GCA_002722055.1,ASM272205v1,SAMN07619993,Rhodospirillaceae bacterium,GCA_002722055.1,train
GCA_002712065.1,ASM271206v1,SAMN07620041,Rickettsiales bacterium,GCA_002712065.1,train
GCA_000007025.1,ASM702v1,SAMN02603141,Rickettsia conorii str. Malish 7,GCF_000007025.1,train
GCA_002291925.1,ASM229192v1,SAMN06452144,Alphaproteobacteria bacterium UBA998,GCA_002291925.1,train
GCA_002787615.1,ASM278761v1,SAMN06659485,Alphaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_44_7,GCA_002787615.1,train
GCA_900321105.1,Rumen uncultured genome RUG653,SAMEA104667135,uncultured proteobacterium,GCA_900321105.1,train
GCA_002692685.1,ASM269268v1,SAMN07619920,Rhodobiaceae bacterium,GCA_002692685.1,train
GCA_002394665.1,ASM239466v1,SAMN06453086,Rickettsiales bacterium UBA4311,GCA_002394665.1,train
GCA_003072485.1,ASM307248v1,SAMN07303433,Candidatus Fokinia solitaria,GCF_003072485.1,train
GCA_002238905.1,ASM223890v1,SAMN05959527,Alphaproteobacteria bacterium bin98,GCA_002238905.1,train
none,none,none,none,GCA_003450915.1,train
GCA_002753615.1,ASM275361v1,SAMN07572850,Magnetococcales bacterium DCbin2,GCA_002753615.1,train
GCA_002721975.1,ASM272197v1,SAMN07618692,Epsilonproteobacteria bacterium,GCA_002721975.1,train
GCA_001730065.1,AB1_rickettsiales,SAMN03766371,Rickettsiales bacterium (ex Bugula neritina AB1),GCA_001730065.1,train
GCA_002309575.1,ASM230957v1,SAMN06454758,bacterium UBP6_UBA1209,GCA_002309575.1,train
GCA_002726945.1,ASM272694v1,SAMN07618668,Deltaproteobacteria bacterium,GCA_002726945.1,train
GCA_002401295.1,ASM240129v1,SAMN07568950,SAR324 cluster bacterium,GCA_002401295.1,train
GCA_002272825.1,ASM227282v1,SAMN05846499,Helicobacter sp. 11S02596-1,GCF_002272825.1,train
GCA_000170735.1,ASM17073v1,SAMN02436122,Caminibacter mediatlanticus TB-2,GCF_000170735.1,train
GCA_002119425.1,ASM211942v1,SAMN05511439,Desulfurella amilsii,GCF_002119425.1,train
GCA_002878215.1,ASM287821v1,SAMN08107298,Hydrogenobaculum sp.,GCA_002878215.1,train
GCA_000021565.1,ASM2156v1,SAMN02604029,Persephonella marina EX-H1,GCF_000021565.1,train
GCA_000421485.1,ASM42148v1,SAMN02440891,Desulfurobacterium sp. TC5-1,GCF_000421485.1,train
GCA_001547735.1,ASM154773v1,SAMD00061062,Thermosulfidibacter takaii ABI70S6,GCF_001547735.1,train
GCA_002452335.1,ASM245233v1,SAMN06454975,Deferribacteraceae bacterium UBA6799,GCA_002452335.1,train
GCA_002402635.1,ASM240263v1,SAMN06451831,Deferribacterales bacterium UBA4806,GCA_002402635.1,train
GCA_000177635.2,ASM17763v2,SAMN02232016,Desulfurispirillum indicum S5,GCF_000177635.2,train
GCA_002311855.1,ASM231185v1,SAMN06452095,Candidatus Dadabacteria bacterium UBA1144,GCA_002311855.1,train
GCA_001443445.1,ASM144344v1,SAMN03462094,Candidatus Dadabacteria bacterium CSP1-2,GCA_001443445.1,train
GCA_003232385.1,ASM323238v1,SAMN09240063,bacterium,GCA_003232385.1,train
GCA_000373985.1,ASM37398v1,SAMN02441374,Desulfobacter curvatus DSM 3379,GCF_000373985.1,train
GCA_001751075.1,ASM175107v1,SAMN05301627,Desulfobacterales bacterium S7086C20,GCA_001751075.1,train
GCA_000179315.1,ASM17931v1,SAMN02436561,delta proteobacterium NaphS2,GCF_000179315.1,train
GCA_900114975.1,IMG-taxon 2599185149 annotated assembly,SAMN05660836,Thermodesulforhabdus norvegica,GCF_900114975.1,train
GCA_002899795.1,ASM289979v1,SAMN07982680,Desulfobacteraceae bacterium,GCA_002899795.1,train
GCA_000143965.1,ASM14396v1,SAMN02598521,Desulfarculus baarsii DSM 2075,GCF_000143965.1,train
GCA_001577715.1,ASM157771v1,SAMN04002515,Candidatus Adiutrix intracellularis,GCA_001577715.1,train
GCA_002049795.1,ASM204979v1,SAMN06282502,Desulfobacca sp. 4484_104,GCA_002049795.1,train
GCA_001797675.1,ASM179767v1,SAMN04314000,Deltaproteobacteria bacterium RBG_13_43_22,GCA_001797675.1,train
GCA_000621145.1,ASM62114v1,SAMN02743974,Desulfobulbus elongatus DSM 2908,GCF_000621145.1,train
GCA_000734015.1,ASM73401v1,SAMN02934663,Thermodesulfobacterium commune DSM 2178,GCF_000734015.1,train
GCA_002367355.1,ASM236735v1,SAMN06455131,Deltaproteobacteria bacterium UBA3076,GCA_002367355.1,train
GCA_001304365.1,ASM130436v1,SAMN03994151,Syntrophobacter sp. DG_60,GCA_001304365.1,train
GCA_003142635.1,20120800_E2X,SAMN08180118,Syntrophaceae bacterium,GCA_003142635.1,train
GCA_002010915.1,ASM201091v1,SAMN06226414,Desulfarculaceae bacterium JdFR-97,GCA_002010915.1,train
GCA_002327985.1,ASM232798v1,SAMN06452576,Syntrophaceae bacterium UBA2188,GCA_002327985.1,train
GCA_001304105.1,ASM130410v1,SAMN03994218,Deltaproteobacteria bacterium SM23_61,GCA_001304105.1,train
GCA_002782605.1,ASM278260v1,SAMN06659918,Deltaproteobacteria bacterium CG_4_8_14_3_um_filter_43_13,GCA_002782605.1,train
GCA_002418945.1,ASM241894v1,SAMN06454534,Deltaproteobacteria bacterium UBA5758,GCA_002418945.1,train
GCA_002316295.1,ASM231629v1,SAMN06455729,Syntrophaceae bacterium UBA1062,GCA_002316295.1,train
GCA_000266945.1,ASM26694v1,SAMN02232013,Desulfomonile tiedjei DSM 6799,GCF_000266945.1,train
GCA_002435955.1,ASM243595v1,SAMN06453684,Pelobacter sp. UBA6093,GCA_002435955.1,train
GCA_000020385.1,ASM2038v1,SAMN00623044,Geobacter lovleyi SZ,GCF_000020385.1,train
GCA_001595385.2,ASM159538v2,SAMN04316215,Deltaproteobacteria bacterium GWC2_55_46,GCA_001595385.2,train
GCA_002451165.1,ASM245116v1,SAMN06453032,Nitrospiraceae bacterium UBA6905,GCA_002451165.1,train
GCA_002897915.1,ASM289791v1,SAMD00081386,bacterium BMS3Bbin09,GCA_002897915.1,train
GCA_003235715.1,ASM323571v1,SAMN09287790,Nitrospirae bacterium,GCA_003235715.1,train
GCA_002420105.1,ASM242010v1,SAMN06457681,Nitrospira sp. UBA5699,GCA_002420105.1,train
GCA_001803875.1,ASM180387v1,SAMN04314791,Nitrospirae bacterium RIFCSPHIGHO2_01_FULL_66_17,GCA_001803875.1,train
GCA_001805205.1,ASM180520v1,SAMN04313969,Nitrospirae bacterium RIFCSPLOW2_12_42_9,GCA_001805205.1,train
GCA_001803815.1,ASM180381v1,SAMN04314071,Nitrospirae bacterium RBG_19FT_COMBO_42_15,GCA_001803815.1,train
none,none,none,none,GCA_003454665.1,train
GCA_001803795.1,ASM180379v1,SAMN04313704,Nitrospirae bacterium RBG_16_64_22,GCA_001803795.1,train
GCA_001873285.1,ASM187328v1,SAMN04328285,Nitrospirae bacterium CG2_30_53_67,GCA_001873285.1,train
GCA_003221695.1,ASM322169v1,SAMN08911926,Candidatus Rokubacteria bacterium,GCA_003221695.1,train
GCA_000091165.1,ASM9116v1,SAMEA3138294,Candidatus Methylomirabilis oxyfera,GCA_000091165.1,train
GCA_002748425.1,ASM274842v1,SAMN07757484,candidate division KSB3 bacterium,GCA_002748425.1,train
GCA_003230535.1,ASM323053v1,SAMN09240175,bacterium,GCA_003230535.1,train
GCA_003246675.1,ASM324667v1,SAMN09287898,Nitrospirae bacterium,GCA_003246675.1,train
GCA_002500605.1,ASM250060v1,SAMN06450621,Nitrospinaceae bacterium UBA7883,GCA_002500605.1,train
GCA_001804915.1,ASM180491v1,SAMN04315473,Nitrospinae bacterium RIFCSPHIGHO2_02_FULL_39_82,GCA_001804915.1,train
GCA_001803565.1,ASM180356v1,SAMN04315881,Nitrospinae bacterium RIFCSPLOWO2_12_FULL_45_22,GCA_001803565.1,train
GCA_001790955.1,ASM179095v1,SAMN04316115,Candidatus Tectomicrobia bacterium RIFCSPLOWO2_12_FULL_69_37,GCA_001790955.1,train
GCA_000522425.1,v3,SAMN02420412,Candidatus Entotheonella factor,GCA_000522425.1,train
GCA_001790645.1,ASM179064v1,SAMN04314163,Candidatus Schekmanbacteria bacterium GWA2_38_11,GCA_001790645.1,train
GCA_003228585.1,ASM322858v1,SAMN09240188,Proteobacteria bacterium,GCA_003228585.1,train
GCA_003161515.1,20110600_P1M,SAMN08178780,Deltaproteobacteria bacterium,GCA_003161515.1,train
none,none,none,none,GCA_003447545.1,train
GCA_002898795.1,ASM289879v1,SAMD00093780,bacterium HR30,GCA_002898795.1,train
GCA_002050235.1,ASM205023v1,SAMN06342773,Polyangiaceae bacterium UTPRO1,GCA_002050235.1,train
GCA_002238415.1,ASM223841v1,SAMN05959505,Desulfurellaceae bacterium bin18,GCA_002238415.1,train
GCA_002311335.1,ASM231133v1,SAMN06452098,bacterium UBP10_UBA1149,GCA_002311335.1,train
GCA_001798565.1,ASM179856v1,SAMN04315882,Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_16,GCA_001798565.1,train
GCA_002869015.1,ASM286901v1,SAMN07982678,Deltaproteobacteria bacterium,GCA_002869015.1,train
GCA_001443455.1,ASM144345v1,SAMN03462095,Deltaproteobacteria bacterium CSP1-8,GCA_001443455.1,train
GCA_003170555.1,20110800_E3D,SAMN08179068,Deltaproteobacteria bacterium,GCA_003170555.1,train
GCA_001873295.1,ASM187329v1,SAMN04328286,Nitrospirae bacterium CG2_30_70_394,GCA_001873295.1,train
GCA_001797815.1,ASM179781v1,SAMN04313688,Deltaproteobacteria bacterium RBG_13_61_14,GCA_001797815.1,train
GCA_003155465.1,20120700_E3M,SAMN08179761,Myxococcales bacterium,GCA_003155465.1,train
GCA_000024805.1,ASM2480v1,SAMN00002596,Haliangium ochraceum DSM 14365,GCF_000024805.1,train
GCA_000737335.3,ASM73733v3,SAMN02719576,Enhygromyxa salina,GCA_000737335.3,train
GCA_002747355.1,ASM274735v1,SAMN07757605,Proteobacteria bacterium,GCA_002747355.1,train
GCA_002841825.1,ASM284182v1,SAMN06767651,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-22,GCA_002841825.1,train
GCA_003151595.1,20120700_P3D,SAMN08179888,Myxococcales bacterium,GCA_003151595.1,train
GCA_900106535.1,IMG-taxon 2693429903 annotated assembly,SAMN05444383,Myxococcus xanthus,GCF_900106535.1,train
GCA_001798605.1,ASM179860v1,SAMN04314410,Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15,GCA_001798605.1,train
GCA_002696345.1,ASM269634v1,SAMN07619494,Myxococcales bacterium,GCA_002696345.1,train
GCA_002721815.1,ASM272181v1,SAMN07619500,Myxococcales bacterium,GCA_002721815.1,train
GCA_002789955.1,ASM278995v1,SAMN06660057,Deltaproteobacteria bacterium CG_4_9_14_3_um_filter_63_12,GCA_002789955.1,train
GCA_002731825.1,ASM273182v1,SAMN07619496,Myxococcales bacterium,GCA_002731825.1,train
GCA_002728755.1,ASM272875v1,SAMN07619498,Myxococcales bacterium,GCA_002728755.1,train
GCA_002863065.1,ASM286306v1,SAMN08158033,Proteobacteria bacterium,GCA_002863065.1,train
GCA_002841945.1,ASM284194v1,SAMN06767642,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-14,GCA_002841945.1,train
GCA_002726535.1,ASM272653v1,SAMN07619497,Myxococcales bacterium,GCA_002726535.1,train
GCA_002731275.1,ASM273127v1,SAMN07618665,Deltaproteobacteria bacterium,GCA_002731275.1,train
GCA_002691205.1,ASM269120v1,SAMN07618662,Deltaproteobacteria bacterium,GCA_002691205.1,train
GCA_003247575.1,ASM324757v1,SAMN09287884,Proteobacteria bacterium,GCA_003247575.1,train
GCA_002348535.1,ASM234853v1,SAMN06456936,Deltaproteobacteria bacterium UBA2957,GCA_002348535.1,train
GCA_002724675.1,ASM272467v1,SAMN07618673,Deltaproteobacteria bacterium,GCA_002724675.1,train
GCA_002725955.1,ASM272595v1,SAMN07620254,Zetaproteobacteria bacterium,GCA_002725955.1,train
GCA_001907975.2,ASM190797v2,SAMN04451922,Silvanigrella aquatica,GCA_001907975.2,train
GCA_002343185.1,ASM234318v1,SAMN06453627,Deltaproteobacteria bacterium UBA2409,GCA_002343185.1,train
GCA_003230795.1,ASM323079v1,SAMN09240133,bacterium,GCA_003230795.1,train
GCA_001799195.1,ASM179919v1,SAMN04314405,Deltaproteobacteria bacterium RIFOXYA12_FULL_61_11,GCA_001799195.1,train
GCA_002707495.1,ASM270749v1,SAMN07619209,Halobacteriovoraceae bacterium,GCA_002707495.1,train
GCA_001769835.1,ASM176983v1,SAMN04313915,Bdellovibrionales bacterium GWB1_55_8,GCA_001769835.1,train
GCA_002343335.1,ASM234333v1,SAMN06454445,Bacteriovoracaceae bacterium UBA2394,GCA_002343335.1,train
GCA_002343545.1,ASM234354v1,SAMN06453859,Bacteriovoracaceae bacterium UBA2428,GCA_002343545.1,train
GCA_002453155.1,ASM245315v1,SAMN06454740,Bdellovibrionaceae bacterium UBA6776,GCA_002453155.1,train
GCA_001798105.1,ASM179810v1,SAMN04315323,Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_40_11,GCA_001798105.1,train
