ncbi_assembly_name,ncbi_genbank_assembly_accession,ncbi_bioproject,ncbi_biosample,ncbi_assembly_level,ncbi_organism_name,ncbi_refseq_category,ncbi_genome_representation,parsed_genome_accession,# assembly_accession,ftp_path,asm_name
ASM217713v1,GCA_002177135.1,PRJNA224116,SAMN06445343,Contig,Natronolimnobius baerhuensis,representative genome,full,GCF_002177135.1,GCA_002177135.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/177/135/GCA_002177135.1_ASM217713v1,ASM217713v1
ASM220189v1,GCA_002201895.1,PRJNA362704,SAMN06246566,Chromosome,Methanopyrus sp. SNP6,na,full,GCA_002201895.1,GCA_002201895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/201/895/GCA_002201895.1_ASM220189v1,ASM220189v1
ASM220470v1,GCA_002204705.1,PRJNA358824,SAMN06329910,Contig,Thermoplasmatales archaeon B_DKE,na,full,GCA_002204705.1,GCA_002204705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/705/GCA_002204705.1_ASM220470v1,ASM220470v1
ASM220862v1,GCA_002208625.1,PRJNA224116,SAMN05608120,Contig,Methanobrevibacter sp. 87.7,na,full,GCF_002208625.1,GCA_002208625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/625/GCA_002208625.1_ASM220862v1,ASM220862v1
ASM221416v1,GCA_002214165.1,PRJNA224116,SAMN06014021,Complete Genome,Candidatus Micrarchaeota archaeon Mia14,na,full,GCF_002214165.1,GCA_002214165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/165/GCA_002214165.1_ASM221416v1,ASM221416v1
ASM221436v1,GCA_002214365.1,PRJNA224116,SAMN03324154,Complete Genome,Thermococcus celer,representative genome,full,GCF_002214365.1,GCA_002214365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/365/GCA_002214365.1_ASM221436v1,ASM221436v1
ASM221438v1,GCA_002214385.1,PRJNA224116,SAMN03324159,Complete Genome,Thermococcus gorgonarius,representative genome,full,GCF_002214385.1,GCA_002214385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/385/GCA_002214385.1_ASM221438v1,ASM221438v1
ASM221446v1,GCA_002214465.1,PRJNA224116,SAMN03324153,Complete Genome,Thermococcus barossii,representative genome,full,GCF_002214465.1,GCA_002214465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/465/GCA_002214465.1_ASM221446v1,ASM221446v1
ASM221448v1,GCA_002214485.1,PRJNA224116,SAMN03324161,Complete Genome,Thermococcus pacificus,representative genome,full,GCF_002214485.1,GCA_002214485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/485/GCA_002214485.1_ASM221448v1,ASM221448v1
ASM221450v1,GCA_002214505.1,PRJNA224116,SAMN03324165,Complete Genome,Thermococcus siculi,representative genome,full,GCF_002214505.1,GCA_002214505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/505/GCA_002214505.1_ASM221450v1,ASM221450v1
ASM221452v1,GCA_002214525.1,PRJNA224116,SAMN03324166,Complete Genome,Thermococcus sp. P6,na,full,GCF_002214525.1,GCA_002214525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/525/GCA_002214525.1_ASM221452v1,ASM221452v1
ASM221454v1,GCA_002214545.1,PRJNA224116,SAMN03324168,Complete Genome,Thermococcus thioreducens,representative genome,full,GCF_002214545.1,GCA_002214545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/545/GCA_002214545.1_ASM221454v1,ASM221454v1
ASM221456v1,GCA_002214565.1,PRJNA224116,SAMN03324164,Complete Genome,Thermococcus radiotolerans,na,full,GCF_002214565.1,GCA_002214565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/565/GCA_002214565.1_ASM221456v1,ASM221456v1
ASM221458v1,GCA_002214585.1,PRJNA224116,SAMN03324163,Complete Genome,Thermococcus profundus,representative genome,full,GCF_002214585.1,GCA_002214585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/585/GCA_002214585.1_ASM221458v1,ASM221458v1
ASM221460v1,GCA_002214605.1,PRJNA224116,SAMN03324156,Complete Genome,Thermococcus chitonophagus,na,full,GCF_002214605.1,GCA_002214605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/605/GCA_002214605.1_ASM221460v1,ASM221460v1
ASM224304v1,GCA_002243045.1,PRJNA224116,SAMN05413111,Contig,Methanolobus psychrotolerans,na,full,GCF_002243045.1,GCA_002243045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/243/045/GCA_002243045.1_ASM224304v1,ASM224304v1
ASM225258v1,GCA_002252585.1,PRJNA224116,SAMN07492084,Contig,Methanobrevibacter smithii,na,full,GCF_002252585.1,GCA_002252585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/585/GCA_002252585.1_ASM225258v1,ASM225258v1
ASM225275v1,GCA_002252755.1,PRJNA224116,SAMN02716046,Scaffold,Halorubrum sp. Hd13,na,full,GCF_002252755.1,GCA_002252755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/755/GCA_002252755.1_ASM225275v1,ASM225275v1
ASM225298v1,GCA_002252985.1,PRJNA224116,SAMN02716035,Scaffold,Halorubrum halodurans,na,full,GCF_002252985.1,GCA_002252985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/985/GCA_002252985.1_ASM225298v1,ASM225298v1
ASM225438v1,GCA_002254385.1,PRJNA362212,SAMN06647974,Contig,Thermoplasmatales archaeon ex4484_6,na,full,GCA_002254385.1,GCA_002254385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/385/GCA_002254385.1_ASM225438v1,ASM225438v1
ASM225439v1,GCA_002254395.1,PRJNA362212,SAMN06647975,Contig,Candidatus Pacearchaeota archaeon ex4484_71,na,full,GCA_002254395.1,GCA_002254395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/395/GCA_002254395.1_ASM225439v1,ASM225439v1
ASM225440v1,GCA_002254405.1,PRJNA362212,SAMN06647981,Contig,Candidatus Altiarchaeales archaeon ex4484_96,na,full,GCA_002254405.1,GCA_002254405.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/405/GCA_002254405.1_ASM225440v1,ASM225440v1
ASM225441v1,GCA_002254415.1,PRJNA362212,SAMN06647971,Contig,Candidatus Aenigmarchaeota archaeon ex4484_52,na,full,GCA_002254415.1,GCA_002254415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/415/GCA_002254415.1_ASM225441v1,ASM225441v1
ASM225454v1,GCA_002254545.1,PRJNA362212,SAMN06647962,Contig,Candidatus Aenigmarchaeota archaeon ex4484_224,na,full,GCA_002254545.1,GCA_002254545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/545/GCA_002254545.1_ASM225454v1,ASM225454v1
ASM225456v1,GCA_002254565.1,PRJNA362212,SAMN06647956,Scaffold,Candidatus Altiarchaeales archaeon ex4484_2,na,full,GCA_002254565.1,GCA_002254565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/565/GCA_002254565.1_ASM225456v1,ASM225456v1
ASM225459v1,GCA_002254595.1,PRJNA362212,SAMN06647953,Contig,Thermofilum sp. ex4484_15,na,full,GCA_002254595.1,GCA_002254595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/595/GCA_002254595.1_ASM225459v1,ASM225459v1
ASM225466v1,GCA_002254665.1,PRJNA362212,SAMN06647973,Contig,Desulfurococcales archaeon ex4484_58,na,full,GCA_002254665.1,GCA_002254665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/665/GCA_002254665.1_ASM225466v1,ASM225466v1
ASM225474v1,GCA_002254745.1,PRJNA362212,SAMN06647959,Contig,Desulfurococcales archaeon ex4484_217_1,na,full,GCA_002254745.1,GCA_002254745.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/745/GCA_002254745.1_ASM225474v1,ASM225474v1
ASM225476v1,GCA_002254765.1,PRJNA362212,SAMN06647967,Contig,Thermoplasmatales archaeon ex4484_36,na,full,GCA_002254765.1,GCA_002254765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/765/GCA_002254765.1_ASM225476v1,ASM225476v1
ASM225480v1,GCA_002254805.1,PRJNA362212,SAMN06647966,Contig,Candidatus Pacearchaeota archaeon ex4484_31,na,full,GCA_002254805.1,GCA_002254805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/805/GCA_002254805.1_ASM225480v1,ASM225480v1
ASM225482v2,GCA_002254825.2,PRJNA362212,SAMN06647985,Scaffold,Methanosarcinales archaeon ex4572_44,na,full,GCA_002254825.2,GCA_002254825.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/825/GCA_002254825.2_ASM225482v2,ASM225482v2
ASM225488v1,GCA_002254885.1,PRJNA362212,SAMN06647982,Scaffold,Thermoplasmatales archaeon ex4572_165,na,full,GCA_002254885.1,GCA_002254885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/885/GCA_002254885.1_ASM225488v1,ASM225488v1
ASM225489v1,GCA_002254895.1,PRJNA362212,SAMN06647986,Scaffold,Thermoprotei archaeon ex4572_64,na,full,GCA_002254895.1,GCA_002254895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/895/GCA_002254895.1_ASM225489v1,ASM225489v1
ASM225497v1,GCA_002254975.1,PRJNA362212,SAMN06647961,Contig,Candidatus Bathyarchaeota archaeon ex4484_218,na,full,GCA_002254975.1,GCA_002254975.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/975/GCA_002254975.1_ASM225497v1,ASM225497v1
ASM225502v1,GCA_002255025.1,PRJNA362212,SAMN06647950,Contig,Candidatus Bathyarchaeota archaeon ex4484_135,na,full,GCA_002255025.1,GCA_002255025.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/255/025/GCA_002255025.1_ASM225502v1,ASM225502v1
ASM225504v1,GCA_002255045.1,PRJNA362212,SAMN06647958,Scaffold,Candidatus Bathyarchaeota archaeon ex4484_205,na,full,GCA_002255045.1,GCA_002255045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/255/045/GCA_002255045.1_ASM225504v1,ASM225504v1
ASM225506v1,GCA_002255065.1,PRJNA362212,SAMN06647957,Contig,Desulfurococcales archaeon ex4484_204,na,full,GCA_002255065.1,GCA_002255065.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/255/065/GCA_002255065.1_ASM225506v1,ASM225506v1
ASM225510v1,GCA_002255105.1,PRJNA362212,SAMN06647949,Contig,Thaumarchaeota archaeon ex4484_121,na,full,GCA_002255105.1,GCA_002255105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/255/105/GCA_002255105.1_ASM225510v1,ASM225510v1
ASM225513v1,GCA_002255135.1,PRJNA362212,SAMN06647951,Scaffold,Methanosarcinales archaeon ex4484_138,na,full,GCA_002255135.1,GCA_002255135.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/255/135/GCA_002255135.1_ASM225513v1,ASM225513v1
ASM225659v1,GCA_002256595.1,PRJNA338276,SAMN05908746,Scaffold,Methanosaeta sp. NSP1,na,full,GCA_002256595.1,GCA_002256595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/256/595/GCA_002256595.1_ASM225659v1,ASM225659v1
ASM228698v1,GCA_002286985.1,PRJNA224116,SAMN07573028,Contig,Halorubrum sp. WN019,na,full,GCF_002286985.1,GCA_002286985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/985/GCA_002286985.1_ASM228698v1,ASM228698v1
ASM228717v1,GCA_002287175.1,PRJNA224116,SAMN04229035,Contig,Methanobacterium bryantii,na,full,GCF_002287175.1,GCA_002287175.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/175/GCA_002287175.1_ASM228717v1,ASM228717v1
ASM228721v1,GCA_002287215.1,PRJNA224116,SAMN04229038,Contig,Methanocorpusculum parvum,na,full,GCF_002287215.1,GCA_002287215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/215/GCA_002287215.1_ASM228721v1,ASM228721v1
ASM228723v1,GCA_002287235.1,PRJNA224116,SAMN04229036,Contig,Methanosarcina spelaei,na,full,GCF_002287235.1,GCA_002287235.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/235/GCA_002287235.1_ASM228723v1,ASM228723v1
ASM231779v1,GCA_002317795.1,PRJNA391950,SAMN07568861,Contig,Thaumarchaeota archaeon,na,full,GCA_002317795.1,GCA_002317795.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/317/795/GCA_002317795.1_ASM231779v1,ASM231779v1
ASM235563v1,GCA_002355635.1,PRJNA224116,SAMD00053810,Complete Genome,Halopenitus persicus,na,full,GCF_002355635.1,GCA_002355635.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/635/GCA_002355635.1_ASM235563v1,ASM235563v1
ASM235565v1,GCA_002355655.1,PRJNA224116,SAMD00053811,Complete Genome,Halorubrum trapanicum,na,full,GCF_002355655.1,GCA_002355655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/655/GCA_002355655.1_ASM235565v1,ASM235565v1
ASM241206v1,GCA_002412065.1,PRJNA38567,SAMN02954272,Scaffold,Candidatus Parvarchaeum acidiphilum ARMAN-4,na,full,GCA_002412065.1,GCA_002412065.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/065/GCA_002412065.1_ASM241206v1,ASM241206v1
ASM241208v1,GCA_002412085.1,PRJNA38569,SAMN02954272,Scaffold,Candidatus Parvarchaeum acidophilus ARMAN-5,na,full,GCA_002412085.1,GCA_002412085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/085/GCA_002412085.1_ASM241208v1,ASM241208v1
ASM245714v1,GCA_002457145.1,PRJNA352798,SAMN06890649,Contig,Marine Group II euryarchaeote MED-G38,na,full,GCA_002457145.1,GCA_002457145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/457/145/GCA_002457145.1_ASM245714v1,ASM245714v1
ASM245715v1,GCA_002457155.1,PRJNA352798,SAMN06890646,Contig,Marine Group II euryarchaeote MED-G35,na,full,GCA_002457155.1,GCA_002457155.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/457/155/GCA_002457155.1_ASM245715v1,ASM245715v1
ASM245719v1,GCA_002457195.1,PRJNA352798,SAMN06890644,Contig,Marine Group II euryarchaeote MED-G33,na,full,GCA_002457195.1,GCA_002457195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/457/195/GCA_002457195.1_ASM245719v1,ASM245719v1
ASM245755v1,GCA_002457555.1,PRJNA352798,SAMN06890648,Contig,Marine Group II euryarchaeote MED-G37,na,full,GCA_002457555.1,GCA_002457555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/457/555/GCA_002457555.1_ASM245755v1,ASM245755v1
ASM245759v1,GCA_002457595.1,PRJNA352798,SAMN06890647,Contig,Marine Group II euryarchaeote MED-G36,na,full,GCA_002457595.1,GCA_002457595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/457/595/GCA_002457595.1_ASM245759v1,ASM245759v1
ASM245760v1,GCA_002457605.1,PRJNA352798,SAMN06890645,Contig,Marine Group II euryarchaeote MED-G34,na,full,GCA_002457605.1,GCA_002457605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/457/605/GCA_002457605.1_ASM245760v1,ASM245760v1
ASM248735v1,GCA_002487355.1,PRJNA224116,SAMN07620899,Contig,Candidatus Methanoperedens sp. BLZ2,na,full,GCF_002487355.1,GCA_002487355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/487/355/GCA_002487355.1_ASM248735v1,ASM248735v1
ASM249024v1,GCA_002490245.1,PRJNA312413,SAMN07701645,Scaffold,Candidatus Bathyarchaeota archaeon B24-2,na,full,GCA_002490245.1,GCA_002490245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/490/245/GCA_002490245.1_ASM249024v1,ASM249024v1
ASM249434v1,GCA_002494345.1,PRJNA224116,SAMN07714153,Contig,Natrinema ejinorense,na,full,GCF_002494345.1,GCA_002494345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/345/GCA_002494345.1_ASM249434v1,ASM249434v1
ASM249449v1,GCA_002494495.1,PRJNA348753,SAMN06027247,Scaffold,Methanobacterium sp. UBA294,na,full,GCA_002494495.1,GCA_002494495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/495/GCA_002494495.1_ASM249449v1,ASM249449v1
ASM249456v1,GCA_002494565.1,PRJNA348753,SAMN06027198,Scaffold,Thaumarchaeota archaeon UBA57,na,full,GCA_002494565.1,GCA_002494565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/565/GCA_002494565.1_ASM249456v1,ASM249456v1
ASM249462v1,GCA_002494625.1,PRJNA348753,SAMN06027495,Scaffold,Archaeoglobus sp. UBA234,na,full,GCA_002494625.1,GCA_002494625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/625/GCA_002494625.1_ASM249462v1,ASM249462v1
ASM249464v1,GCA_002494645.1,PRJNA348753,SAMN06027175,Scaffold,Euryarchaeota archaeon UBA256,na,full,GCA_002494645.1,GCA_002494645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/645/GCA_002494645.1_ASM249464v1,ASM249464v1
ASM249472v1,GCA_002494725.1,PRJNA348753,SAMN06027494,Contig,Geoglobus sp. UBA235,na,full,GCA_002494725.1,GCA_002494725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/725/GCA_002494725.1_ASM249472v1,ASM249472v1
ASM249476v1,GCA_002494765.1,PRJNA348753,SAMN06027450,Scaffold,Euryarchaeota archaeon UBA186,na,full,GCA_002494765.1,GCA_002494765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/765/GCA_002494765.1_ASM249476v1,ASM249476v1
ASM249478v1,GCA_002494785.1,PRJNA348753,SAMN06027415,Scaffold,Methanobacteriaceae archaeon UBA117,na,full,GCA_002494785.1,GCA_002494785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/785/GCA_002494785.1_ASM249478v1,ASM249478v1
ASM249488v1,GCA_002494885.1,PRJNA348753,SAMN06027023,Scaffold,Methanobacterium sp. UBA44,na,full,GCA_002494885.1,GCA_002494885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/885/GCA_002494885.1_ASM249488v1,ASM249488v1
ASM249489v1,GCA_002494895.1,PRJNA348753,SAMN06027106,Contig,Nitrososphaera sp. UBA210,na,full,GCA_002494895.1,GCA_002494895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/895/GCA_002494895.1_ASM249489v1,ASM249489v1
ASM249497v1,GCA_002494975.1,PRJNA348753,SAMN06027274,Scaffold,Euryarchaeota archaeon UBA556,na,full,GCA_002494975.1,GCA_002494975.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/494/975/GCA_002494975.1_ASM249497v1,ASM249497v1
ASM249502v1,GCA_002495025.1,PRJNA348753,SAMN06027066,Scaffold,Desulfurococcaceae archaeon UBA285,na,full,GCA_002495025.1,GCA_002495025.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/025/GCA_002495025.1_ASM249502v1,ASM249502v1
ASM249505v1,GCA_002495055.1,PRJNA348753,SAMN06027050,Scaffold,Methanoregula sp. UBA247,na,full,GCA_002495055.1,GCA_002495055.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/055/GCA_002495055.1_ASM249505v1,ASM249505v1
ASM249506v1,GCA_002495065.1,PRJNA348753,SAMN06027617,Scaffold,Methanoregula sp. UBA471,na,full,GCA_002495065.1,GCA_002495065.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/065/GCA_002495065.1_ASM249506v1,ASM249506v1
ASM249518v1,GCA_002495185.1,PRJNA348753,SAMN06027448,Scaffold,Thermoplasmata archaeon UBA184,na,full,GCA_002495185.1,GCA_002495185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/185/GCA_002495185.1_ASM249518v1,ASM249518v1
ASM249520v1,GCA_002495205.1,PRJNA348753,SAMN06027453,Scaffold,Thaumarchaeota archaeon UBA183,na,full,GCA_002495205.1,GCA_002495205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/205/GCA_002495205.1_ASM249520v1,ASM249520v1
ASM249522v1,GCA_002495225.1,PRJNA348753,SAMN06027061,Scaffold,Methanoregulaceae archaeon UBA288,na,full,GCA_002495225.1,GCA_002495225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/225/GCA_002495225.1_ASM249522v1,ASM249522v1
ASM249523v1,GCA_002495235.1,PRJNA348753,SAMN06027064,Scaffold,Euryarchaeota archaeon UBA287,na,full,GCA_002495235.1,GCA_002495235.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/235/GCA_002495235.1_ASM249523v1,ASM249523v1
ASM249531v1,GCA_002495315.1,PRJNA348753,SAMN06027030,Scaffold,Thaumarchaeota archaeon UBA141,na,full,GCA_002495315.1,GCA_002495315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/315/GCA_002495315.1_ASM249531v1,ASM249531v1
ASM249532v1,GCA_002495325.1,PRJNA348753,SAMN06027512,Scaffold,Methanomassiliicoccaceae archaeon UBA593,na,full,GCA_002495325.1,GCA_002495325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/325/GCA_002495325.1_ASM249532v1,ASM249532v1
ASM249540v1,GCA_002495405.1,PRJNA348753,SAMN06027084,Scaffold,Euryarchaeota archaeon UBA15,na,full,GCA_002495405.1,GCA_002495405.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/405/GCA_002495405.1_ASM249540v1,ASM249540v1
ASM249546v1,GCA_002495465.1,PRJNA348753,SAMN06027196,Scaffold,archaeon UBA55,na,full,GCA_002495465.1,GCA_002495465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/465/GCA_002495465.1_ASM249546v1,ASM249546v1
ASM249548v1,GCA_002495485.1,PRJNA348753,SAMN06027447,Scaffold,Candidatus Bathyarchaeota archaeon UBA185,na,full,GCA_002495485.1,GCA_002495485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/485/GCA_002495485.1_ASM249548v1,ASM249548v1
ASM249552v1,GCA_002495525.1,PRJNA348753,SAMN06027103,Scaffold,Euryarchaeota archaeon UBA89,na,full,GCA_002495525.1,GCA_002495525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/525/GCA_002495525.1_ASM249552v1,ASM249552v1
ASM249553v1,GCA_002495535.1,PRJNA348753,SAMN06027563,Scaffold,Euryarchaeota archaeon UBA433,na,full,GCA_002495535.1,GCA_002495535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/535/GCA_002495535.1_ASM249553v1,ASM249553v1
ASM249562v1,GCA_002495625.1,PRJNA348753,SAMN06027556,Scaffold,Methanobacterium sp. UBA375,na,full,GCA_002495625.1,GCA_002495625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/625/GCA_002495625.1_ASM249562v1,ASM249562v1
ASM249564v1,GCA_002495645.1,PRJNA348753,SAMN06027480,Scaffold,Euryarchaeota archaeon UBA549,na,full,GCA_002495645.1,GCA_002495645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/645/GCA_002495645.1_ASM249564v1,ASM249564v1
ASM249567v1,GCA_002495675.1,PRJNA348753,SAMN06027454,Scaffold,Euryarchaeota archaeon UBA182,na,full,GCA_002495675.1,GCA_002495675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/675/GCA_002495675.1_ASM249567v1,ASM249567v1
ASM249568v1,GCA_002495685.1,PRJNA348753,SAMN06027510,Scaffold,Methanobrevibacter sp. UBA412,na,full,GCA_002495685.1,GCA_002495685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/685/GCA_002495685.1_ASM249568v1,ASM249568v1
ASM249573v1,GCA_002495735.1,PRJNA348753,SAMN06027195,Scaffold,Euryarchaeota archaeon UBA54,na,full,GCA_002495735.1,GCA_002495735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/735/GCA_002495735.1_ASM249573v1,ASM249573v1
ASM249584v1,GCA_002495845.1,PRJNA348753,SAMN06027398,Scaffold,Sulfolobus sp. UBA167,na,full,GCA_002495845.1,GCA_002495845.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/845/GCA_002495845.1_ASM249584v1,ASM249584v1
ASM249588v1,GCA_002495885.1,PRJNA348753,SAMN06027039,Scaffold,Methanocellaceae archaeon UBA148,na,full,GCA_002495885.1,GCA_002495885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/885/GCA_002495885.1_ASM249588v1,ASM249588v1
ASM249590v1,GCA_002495905.1,PRJNA348753,SAMN06027293,Scaffold,Thaumarchaeota archaeon UBA223,na,full,GCA_002495905.1,GCA_002495905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/905/GCA_002495905.1_ASM249590v1,ASM249590v1
ASM249594v1,GCA_002495945.1,PRJNA348753,SAMN06027090,Scaffold,Euryarchaeota archaeon UBA13,na,full,GCA_002495945.1,GCA_002495945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/495/945/GCA_002495945.1_ASM249594v1,ASM249594v1
ASM249601v1,GCA_002496015.1,PRJNA348753,SAMN06027460,Scaffold,Candidatus Pacearchaeota archaeon UBA73,na,full,GCA_002496015.1,GCA_002496015.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/496/015/GCA_002496015.1_ASM249601v1,ASM249601v1
ASM249606v1,GCA_002496065.1,PRJNA348753,SAMN06027047,Scaffold,Methanobrevibacter sp. UBA586,na,full,GCA_002496065.1,GCA_002496065.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/496/065/GCA_002496065.1_ASM249606v1,ASM249606v1
ASM249635v1,GCA_002496355.1,PRJNA348753,SAMN06027442,Scaffold,Euryarchaeota archaeon UBA346,na,full,GCA_002496355.1,GCA_002496355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/496/355/GCA_002496355.1_ASM249635v1,ASM249635v1
ASM249638v1,GCA_002496385.1,PRJNA348753,SAMN06027036,Scaffold,Methanomassiliicoccales archaeon UBA147,na,full,GCA_002496385.1,GCA_002496385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/496/385/GCA_002496385.1_ASM249638v1,ASM249638v1
